Offense Date,UCR Description,UCR Category,Zip Code
2021-01-20 13:00:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38128
2021-01-20 13:10:00+00:00,INTIMIDATION,ASSAULT,38128
2021-01-20 13:30:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-20 15:15:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-20 15:25:00+00:00,WEAPON LAW VIOL,WEAPON LAW VIOLATION,38128
2021-01-20 16:05:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38128
2021-01-20 18:00:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38128
2021-01-20 18:00:00+00:00,SIMPLE ASSAULT,ASSAULT,38128
2021-01-20 18:30:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38128
2021-01-20 19:00:00+00:00,THEFT OF MV PARTS/ACCS,LARCENY/THEFT,38128
2021-01-20 21:15:00+00:00,WEAPON LAW VIOL,WEAPON LAW VIOLATION,38128
2021-01-20 21:36:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38128
2021-01-20 22:00:00+00:00,CREDIT CARD/ATM FRAUD,FRAUD,38128
2021-01-20 23:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38128
2021-01-21 00:00:00+00:00,SIMPLE ASSAULT,ASSAULT,38128
2021-01-21 01:30:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38128
2021-01-21 03:50:00+00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,38128
2021-01-21 12:09:00+00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,38128
2021-01-21 16:12:00+00:00,ARSON,ARSON,38128
2021-01-22 04:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38128
2021-01-22 07:00:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38128
2021-01-22 07:45:00+00:00,SIMPLE ASSAULT,ASSAULT,38128
2021-01-22 09:40:00+00:00,INTIMIDATION,ASSAULT,38128
2021-01-22 11:00:00+00:00,DRUG/NARCOTIC VIOLS,DRUG/NARCOTIC,38128
2021-01-22 12:45:00+00:00,INTIMIDATION,ASSAULT,38128
2021-01-22 13:15:00+00:00,INTIMIDATION,ASSAULT,38128
2021-01-22 14:00:00+00:00,CREDIT CARD/ATM FRAUD,FRAUD,38128
2021-01-22 15:50:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38128
2021-01-22 16:45:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-22 18:00:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38128
2021-01-22 18:24:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38128
2021-01-22 19:00:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38128
2021-01-22 19:39:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-22 20:45:00+00:00,INTIMIDATION,ASSAULT,38128
2021-01-22 21:05:00+00:00,DRUG/NARCOTIC VIOLS,DRUG/NARCOTIC,38128
2021-01-22 22:00:00+00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,38128
2021-01-22 22:00:00+00:00,THEFT OF MV PARTS/ACCS,LARCENY/THEFT,38128
2021-01-22 22:06:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38128
2021-01-22 22:35:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38128
2021-01-22 23:00:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38128
2021-01-22 23:15:00+00:00,SIMPLE ASSAULT,ASSAULT,38128
