Offense Date,UCR Description,UCR Category,Zip Code
2021-01-22 09:10:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-22 09:10:00+00:00,ROBBERY,ROBBERY,38114
2021-01-22 11:25:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-22 12:20:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38114
2021-01-22 13:00:00+00:00,THEFT FROM A BUILDING,LARCENY/THEFT,38114
2021-01-22 13:00:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38114
2021-01-22 13:20:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-22 13:45:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38114
2021-01-22 15:00:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38114
2021-01-22 16:12:00+00:00,DRUG/NARCOTIC VIOLS,DRUG/NARCOTIC,38114
2021-01-22 16:17:00+00:00,PROSTITUTION,PROSTITUTION,38114
2021-01-22 16:38:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38114
2021-01-22 16:50:00+00:00,PROSTITUTION,PROSTITUTION,38114
2021-01-22 17:19:00+00:00,PROSTITUTION,PROSTITUTION,38114
2021-01-22 19:36:00+00:00,DRUG/NARCOTIC VIOLS,DRUG/NARCOTIC,38114
2021-01-22 19:50:00+00:00,WEAPON LAW VIOL,WEAPON LAW VIOLATION,38114
2021-01-22 20:01:00+00:00,DRUG/NARCOTIC VIOLS,DRUG/NARCOTIC,38114
2021-01-22 22:30:00+00:00,SIMPLE ASSAULT,ASSAULT,38114
2021-01-23 13:07:00+00:00,SHOPLIFTING,LARCENY/THEFT,38114
2021-01-23 14:00:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38114
2021-01-23 15:30:00+00:00,SHOPLIFTING,LARCENY/THEFT,38114
2021-01-23 16:20:00+00:00,SHOPLIFTING,LARCENY/THEFT,38114
2021-01-23 16:20:00+00:00,SHOPLIFTING,LARCENY/THEFT,38114
2021-01-23 19:00:00+00:00,SIMPLE ASSAULT,ASSAULT,38114
2021-01-23 19:30:00+00:00,DRUG/NARCOTIC VIOLS,DRUG/NARCOTIC,38114
2021-01-23 19:36:00+00:00,DRUG/NARCOTIC VIOLS,DRUG/NARCOTIC,38114
2021-01-23 21:15:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38114
2021-01-24 00:30:00+00:00,INTIMIDATION,ASSAULT,38114
2021-01-24 01:25:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38114
2021-01-24 03:50:00+00:00,SIMPLE ASSAULT,ASSAULT,38114
2021-01-24 06:00:00+00:00,SIMPLE ASSAULT,ASSAULT,38114
2021-01-24 06:08:00+00:00,DRUG/NARCOTIC VIOLS,DRUG/NARCOTIC,38114
2021-01-24 13:25:00+00:00,SIMPLE ASSAULT,ASSAULT,38114
2021-01-24 14:00:00+00:00,INTIMIDATION,ASSAULT,38114
2021-01-24 20:35:00+00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,38114
2021-01-24 21:00:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38114
2021-01-24 21:15:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38114
2021-01-25 00:15:00+00:00,SIMPLE ASSAULT,ASSAULT,38114
2021-01-25 01:00:00+00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,38114
2021-01-25 12:38:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38114
2021-01-25 13:16:00+00:00,SHOPLIFTING,LARCENY/THEFT,38114
2021-01-25 17:40:00+00:00,SHOPLIFTING,LARCENY/THEFT,38114
